alias_id,method_family,layout,input_columns,output_columns,line_by_line_doc,static_registry_module,adapter_recipe,execution_module,existing_execution_evidence,source_to_adapter_parity,hq_state
TRAIN-1ST-LEGACY,method_family_1,legacy_K_FF_to_FG_GW,K:FF,FH|FN|FK|FU|GK|GM|GN|GO|GP|GR|GT|GV,results/training_line_by_line/TRAIN-1ST-LEGACY_line_by_line_20260709.md,urp4/training/v0_1/registry.py,FS4-P1-A weighted_blend_top2,p1_exec_layer_v0_1 GuardedWeightedBlendRegressor,PRM071 representative reduced-proxy OOF,not_started,locked_readiness_only
TRAIN-1ST-NEWFEATURE,method_family_1,new_I_FU_to_FV_HL,I:FU,FW|FX|FZ|GA|GC|GG|GJ|GZ|HA|HB|HC|HD|HE|HG|HI|HK,results/training_line_by_line/TRAIN-1ST-NEWFEATURE_line_by_line_20260709.md,urp4/training/v0_1/registry.py,FS4-P1-A weighted_blend_top2,p1_exec_layer_v0_1 GuardedWeightedBlendRegressor,PRM071 representative reduced-proxy OOF,not_started,locked_readiness_only
TRAIN-2ND-LEGACY,method_family_2,legacy_K_FF_to_FG_GW,K:FF,FH|FN|FK|FU|GK|GM|GN|GO|GP|GR|GT|GV,results/training_line_by_line/TRAIN-2ND-LEGACY_line_by_line_20260709.md,urp4/training/v0_1/registry.py,FS4-P1-B stability_lasso_ridge,p1_exec_layer_v0_1 GuardedStabilityLassoRidge,PRM071 representative adapter OOF,not_started,locked_readiness_only
TRAIN-2ND-NEWFEATURE,method_family_2,new_I_FU_to_FV_HL,I:FU,FW|FX|FZ|GA|GC|GG|GJ|GZ|HA|HB|HC|HD|HE|HG|HI|HK,results/training_line_by_line/TRAIN-2ND-NEWFEATURE_line_by_line_20260709.md,urp4/training/v0_1/registry.py,FS4-P1-B stability_lasso_ridge,p1_exec_layer_v0_1 GuardedStabilityLassoRidge,PRM071 representative adapter OOF,not_started,locked_readiness_only
TRAIN-3RD-LEGACY,method_family_3,legacy_K_FF_to_FG_GW,K:FF,FH|FN|FK|FU|GK|GM|GN|GO|GP|GR|GT|GV,results/training_line_by_line/TRAIN-3RD-LEGACY_line_by_line_20260709.md,urp4/training/v0_1/registry.py,FS4-P1-C direct_omp_ridge,p1_exec_layer_v0_1 GuardedOMPThenRidge,PRM071 bounded-grid representative OOF,not_started,locked_readiness_only
TRAIN-3RD-NEWFEATURE,method_family_3,new_I_FU_to_FV_HL,I:FU,FW|FX|FZ|GA|GC|GG|GJ|GZ|HA|HB|HC|HD|HE|HG|HI|HK,results/training_line_by_line/TRAIN-3RD-NEWFEATURE_line_by_line_20260709.md,urp4/training/v0_1/registry.py,FS4-P1-C direct_omp_ridge,p1_exec_layer_v0_1 GuardedOMPThenRidge,PRM071 bounded-grid representative OOF,not_started,locked_readiness_only
TRAIN-4TH-ENSEMBLE,method_family_4_ensemble,new_I_FU_to_FV_HL,I:FU,FW|FX|FZ|GA|GC|GG|GJ|GZ|HA|HB|HC|HD|HE|HG|HI|HK,results/training_line_by_line/TRAIN-4TH-ENSEMBLE_line_by_line_20260709.md,urp4/training/v0_1/registry.py,FS4-P1-D featureaware_partial_missing_ensemble,p1_exec_layer_v0_1 GuardedFeatureAwareEnsemble,PRM071 common-only degraded representative OOF,not_started,locked_readiness_only
TRAIN-5TH-ALLTOGETHER,method_family_5_alltogether,new_I_FU_to_FV_HL,I:FU,FW|FX|FZ|GA|GC|GG|GJ|GZ|HA|HB|HC|HD|HE|HG|HI|HK,results/training_line_by_line/TRAIN-5TH-ALLTOGETHER_line_by_line_20260709.md,urp4/training/v0_1/registry.py,none_coordinator_reference,none,static crosswalk and no-fit coordinator policy only,not_started,locked_readiness_only
TRAIN-5TH-FIXED,method_family_5_alltogether,new_I_FU_to_FV_HL,I:FU,FW|FX|FZ|GA|GC|GG|GJ|GZ|HA|HB|HC|HD|HE|HG|HI|HK,results/training_line_by_line/TRAIN-5TH-FIXED_line_by_line_20260709.md,urp4/training/v0_1/registry.py,none_first_crosswalk_reference,none,static crosswalk and no-fit coordinator policy only,not_started,locked_readiness_only

