scope_id,priority,artifact,change_type,minimal_change,reason,protected_boundary,verification
R2-S01,1,URP4_1_MASTER_HANDOFF_LEDGER.xlsx,targeted_current_state_patch,00_README current cutoff/schema/C1; 02_TRACK_STATUS running=0; 11_REQUIREMENTS external-finalization semantics. Preserve history/delta.,CONS-CRIT-002/003,No lifecycle evidence deletion; no scientific value edits.,Read-only cell audit against C1 RUN_STATE/IQA and schema.
R2-S02,1,PROJECT_SCHEMA.json,submission_state_patch,Separate content-frozen state from delivery-bundle finalization; remove misleading nested PENDING_ARCHIVE_QA as final recipient state.,CONS-CRIT-003,No scientific schema/claim expansion.,JSON parse and state crosswalk with README/ledger/checklist/external receipt.
R2-S03,1,SUBMISSION_REQUIREMENTS_CHECKLIST.csv (both copies),finalization_contract_patch,Replace bare PENDING_FINALIZE with an explicit EXTERNAL_FINALIZATION contract and exact required sidecar names; final PASS lives in external delivery index.,CONS-CRIT-003,Do not claim self-hash from inside ZIP.,Both copies byte-identical; external delivery index marks exact r2 PASS.
R2-S04,1,00_READ_ME_FIRST/README_FIRST.md; FINAL_SUBMISSION_REPORT.md; MERGE_PACKET.md,r2_handoff_patch,"Point to terminal C1, package/content state, external finalization sidecars and r2 reading order.",CONS-CRIT-002/003,Preserve all scientific claim wording/limits.,State scan and manual 10-minute handoff test.
R2-S05,2,AI_START_HERE_SOURCE_POINTER.md,top_override_only,Add terminal v1.1/r2 banner and historical-context labels; do not rewrite transcript body.,CONS-MAJ-005,Historical content remains read-only beneath banner.,Context-aware running/C1 token audit.
R2-S06,2,EVIDENCE_INDEX.csv,append_versioned_snapshot_rows,Add terminal C1 and immutable AI_START snapshot rows with snapshot/current scope; preserve historical hashes.,CONS-MAJ-002,No silent hash overwrite.,Stratified spot check including both formerly stale identities.
R2-S07,2,INCLUDED_EXCLUDED_FILE_MANIFEST.csv,source_snapshot_disposition,Resolve missing HQ-GEOM-003 source locator and two live drifts through immutable packaged snapshot mapping/status.,CONS-MAJ-002,Package bytes remain evidence; mutable live paths are not promoted.,All 363 rows exact or explicitly snapshot-resolved; zero unexplained failure.
R2-S08,2,SOURCE_CUTOFF_MANIFEST + PACKAGE_VIEW_MANIFEST + MANIFEST_SCOPE_AND_REVISION_MAP,manifest_scope_split,Preserve source-cutoff 22-row identity separately; generate package-view hashes after all r2 edits; map revised files explicitly.,CONS-MAJ-001,Do not rewrite source-cutoff meaning.,22/22 source; 0 package-view mismatch; member manifest all payload.
R2-S09,2,Seven broken Markdown targets or three source reports,link_repair,Include canonical targets at expected paths or rewrite links to included copies.,CONS-MAJ-003,Do not remove evidence references solely to pass QA.,Markdown/HTML local link missing=0.
R2-S10,3,03_CONFIG_RUNTIME_AND_COMMANDS,portable_reproduction_spec,"Add complete environment lock/export, checksum, relative read-only launcher/path-map and external geometry placement guide.",CONS-MAJ-004,No environment binary bundle; no research run.,Clean-PC dependency import/read-only verifier smoke.
R2-S11,3,PACKAGE_CONTENT_SHA256.csv,regenerate_after_freeze,Regenerate after all content patches and document its one-file self-exclusion.,CONS-NOTE-001,Exactly one self-exclusion.,All payload rows exact; no other extras.
R2-S12,4,External r2 sidecars,post_seal_finalization,"Create .sha256, archive QA, extracted smoke QA and DELIVERY_BUNDLE_INDEX after sealing r2.",CONS-CRIT-003,Sidecars outside ZIP; no circular self-validation.,Each sidecar names exact r2 filename/SHA/size/member count.
R2-S13,4,Google Drive delivery folder,upload_and_permission,"Upload one r2 ZIP, sidecars and 67 geometry files/verified archive; grant professor viewer access; label partial duplicates.",CONS-CRIT-001,No rename/edit of geometry bytes; no deletion without authorization.,"Remote download hash, 67/1,411,469,295, access from non-owner."
R2-S14,4,Protected scientific payload,hash_regression_only,Do not edit; compare against r1 protected-evidence manifest after r2 staging and seal.,CONS-NOTE-002,No descriptor/Training/C1/inverse-design calculation or claim promotion.,Protected scientific hash set unchanged; claim audit overclaim=0.
