branch_id,candidate_generation,selection_objective,tie_handling,feature_order,transform_model,fallback_none_exception,final_refit_path,status
baseline_stability,source evaluate_method_train_test branch body,choose_best_model_and_topk: source inner best_score/std/topk/complexity objective,source condition/order retained; observed via trace/wrappers,source ranked_features and branch-local feature lists retained,source branch dispatch retained,source path retained and traceable,source Cell E1 dispatch; 13 primary/3 hold gate external,exact_port_complete_no_fit
stability_lasso_ridge,source evaluate_method_train_test branch body,stability frequency screen; inner mean_r2; transform/topk candidate selection,source condition/order retained; observed via trace/wrappers,source ranked_features and branch-local feature lists retained,source branch dispatch retained,source path retained and traceable,source Cell E1 dispatch; 13 primary/3 hold gate external,exact_port_complete_no_fit
spca_ridge,source evaluate_method_train_test branch body,SPCA screen/components/transform candidates; score_obj comparison,source condition/order retained; observed via trace/wrappers,source ranked_features and branch-local feature lists retained,source branch dispatch retained,source path retained and traceable,source Cell E1 dispatch; 13 primary/3 hold gate external,exact_port_complete_no_fit
spca_huber,source evaluate_method_train_test branch body,SPCA screen/components/transform candidates; score_obj comparison,source condition/order retained; observed via trace/wrappers,source ranked_features and branch-local feature lists retained,source branch dispatch retained,source path retained and traceable,source Cell E1 dispatch; 13 primary/3 hold gate external,exact_port_complete_no_fit
block_pca_ridge,source evaluate_method_train_test branch body,block correlation threshold and transform candidates; score_obj comparison,source condition/order retained; observed via trace/wrappers,source ranked_features and branch-local feature lists retained,source branch dispatch retained,source path retained and traceable,source Cell E1 dispatch; 13 primary/3 hold gate external,exact_port_complete_no_fit
bagged_subspace_ridge,source evaluate_method_train_test branch body,ranked feature top-k and transform candidates; score_obj comparison,source condition/order retained; observed via trace/wrappers,source ranked_features and branch-local feature lists retained,source branch dispatch retained,source path retained and traceable,source Cell E1 dispatch; 13 primary/3 hold gate external,exact_port_complete_no_fit
minimal_class_average,source evaluate_method_train_test branch body,class-balanced member roster; valid member count >=2; class-average prediction,source condition/order retained; observed via trace/wrappers,source ranked_features and branch-local feature lists retained,source branch dispatch retained,source path retained and traceable,source Cell E1 dispatch; 13 primary/3 hold gate external,exact_port_complete_no_fit
multitask_screen_ridge,source evaluate_method_train_test branch body,family multitask screen plus transform/top-k candidates; score_obj comparison,source condition/order retained; observed via trace/wrappers,source ranked_features and branch-local feature lists retained,source branch dispatch retained,source path retained and traceable,source Cell E1 dispatch; 13 primary/3 hold gate external,exact_port_complete_no_fit
multitask_screen_pls,source evaluate_method_train_test branch body,family multitask screen plus transform/top-k candidates; score_obj comparison,source condition/order retained; observed via trace/wrappers,source ranked_features and branch-local feature lists retained,source branch dispatch retained,source path retained and traceable,source Cell E1 dispatch; 13 primary/3 hold gate external,exact_port_complete_no_fit
spca_pls,source evaluate_method_train_test branch body,SPCA screen/components/transform candidates; score_obj comparison,source condition/order retained; observed via trace/wrappers,source ranked_features and branch-local feature lists retained,source branch dispatch retained,source path retained and traceable,source Cell E1 dispatch; 13 primary/3 hold gate external,exact_port_complete_no_fit
