relative_path,file_name,extension,top_group,depth,package_state,korean_description
00_READ_ME_FIRST/ALGORITHM_AND_RESULT_GUIDE_KO.txt,ALGORITHM_AND_RESULT_GUIDE_KO.txt,.txt,00_READ_ME_FIRST,1,current_package_member_or_evidence,수정·구축한 알고리즘과 활용 결과를 한국어로 요약한 안내
00_READ_ME_FIRST/ALGORITHM_FILE_INDEX.csv,ALGORITHM_FILE_INDEX.csv,.csv,00_READ_ME_FIRST,1,current_package_member_or_evidence,재개에 유효한 알고리즘 파일별 경로·SHA·역할·실행 등급 목록
00_READ_ME_FIRST/ALGORITHM_PIPELINE_INDEX.csv,ALGORITHM_PIPELINE_INDEX.csv,.csv,00_READ_ME_FIRST,1,current_package_member_or_evidence,파이프라인별 목적·입력·출력·entrypoint·근거·재개 행동 목록
00_READ_ME_FIRST/ALL_FILES_DESCRIPTION_INDEX_KO.csv,ALL_FILES_DESCRIPTION_INDEX_KO.csv,.csv,00_READ_ME_FIRST,1,current_package_member_or_evidence,모든 파일의 상대경로·유형·상태·한국어 설명을 검색·필터하는 표
00_READ_ME_FIRST/ALL_FILES_DESCRIPTION_QA.json,ALL_FILES_DESCRIPTION_QA.json,.json,00_READ_ME_FIRST,1,current_package_member_or_evidence,00_READ_ME_FIRST 결과의 독립 재검사·무결성·계약 통과 여부를 기록한 QA 파일
00_READ_ME_FIRST/FINAL_SUBMISSION_REPORT.md,FINAL_SUBMISSION_REPORT.md,.md,00_READ_ME_FIRST,1,current_package_member_or_evidence,00_READ_ME_FIRST 작업의 목적·실행 결과·해석 경계를 기록한 보고서
00_READ_ME_FIRST/MERGE_PACKET.md,MERGE_PACKET.md,.md,00_READ_ME_FIRST,1,current_package_member_or_evidence,00_READ_ME_FIRST 작업의 QA·채택 범위·남은 제한을 요약한 merge packet
00_READ_ME_FIRST/README_ALL_FILES_TREE_AND_DESCRIPTION_KO.md,README_ALL_FILES_TREE_AND_DESCRIPTION_KO.md,.md,00_READ_ME_FIRST,1,current_package_member_or_evidence,ZIP 안 모든 파일의 상대경로를 트리로 나열하고 각 파일을 설명한 전수 목록
00_READ_ME_FIRST/README_FIRST.md,README_FIRST.md,.md,00_READ_ME_FIRST,1,current_package_member_or_evidence,"박사님용 한국어 첫 안내서: 읽는 순서, alias 뜻, 현재 가능한 기능과 한계"
01_PROJECT_MAP_AND_LEDGER/CLAIM_AND_LIMITATION_LEDGER.csv,CLAIM_AND_LIMITATION_LEDGER.csv,.csv,01_PROJECT_MAP_AND_LEDGER,1,current_package_member_or_evidence,01_PROJECT_MAP_AND_LEDGER 폴더의 계산값·registry·manifest·QA 표
