lineage_id,source_stage,source_implementation,current_adapter_component,mapping_level,status,evidence,parity_implication
LIN-001,source/input identity,notebook and workbook SHA plus KMK312 environment,permit dataset ID and version checks,reduced compatibility subset,confirmed,"source notebook; runtime_environment.json; permit.py",Hashes can be checked but dataset identity is a different FS4 object
LIN-002,workbook extraction,"openpyxl sheet first; rows 2:5 headers; I7:FU204 and selected FV:HL",none,unsupported,confirmed,"source cells A2/B1; adapters.py",P1 cannot run
LIN-003,numeric and NaN handling,"to_numeric coerce; remove all-missing X/Y; target-specific target-row drop",median imputer inside guarded estimator,representative proxy,confirmed,"source cell B2; estimators.py",Imputation exists but source extraction parity is absent
LIN-004,same-X grouping,"round X 8 decimals; join with ||; factorize sort=False",requires externally supplied groups,unsupported,confirmed,"source cell B2; estimators.py",P2 cannot run
LIN-005,outer folds,"12 target-specific GroupShuffleSplit runs; test_size 0.22; seed 42+repeat",five fixed leave-one-family-out IDs from PRM-063,representative proxy,confirmed,"source cells C2/D1; permit.py",P3 membership is incompatible unless a new shared-fold interface is built
LIN-006,inner folds,"24 GroupShuffleSplit searches; test_size 0.20",LassoCV cv=4 inside 60 bootstraps,intentionally altered leakage-safe implementation,confirmed,"source cell C2; estimators.py",Different resampling graph; not numerical parity
LIN-007,rough prefilter,"group medians; coverage gate; Spearman/Pearson/MI/ElasticNet weighted rank; threshold 0.85",none,unsupported,confirmed,"source cell C2; p1 adapter source",P4 cannot run
LIN-008,feature stability ranking,"24 repeated grouped splits with ElasticNetCV plus rank/correlation pruning",60 group-bootstrap LassoCV selection,representative proxy,confirmed,"source cells C2/C2+; estimators.py",Related concept but different population and rule
LIN-009,engineered features,"signed log; square; product; family-dependent ratio; capped additions",none,unsupported,confirmed,"source cell A1 and helper cells",P4 cannot run
LIN-010,repeated-y handling,"hard_closest_oof and group-aware candidate selection",none,unsupported,confirmed,"source cell C2",Source sample construction is not represented
LIN-011,stability_lasso_ridge branch,"one source method candidate among 7-10 target-dependent candidates","GuardedStabilityLassoRidge: n_boot60/subsample0.80/probability0.35/top6/Ridge",reduced compatibility subset,confirmed,"source cell C2+; registry.py; estimators.py",FS4-P1-B is a branch probe only
LIN-012,other source method branches,"baseline; SPCA; BlockPCA; bagged; minimal-class; multitask; SPCA-PLS",none in FS4-P1-B,unsupported,confirmed,"get_method_candidates_for_output; builders.py",Full method-2 notebook cannot be represented
LIN-013,target transforms,"raw and Yeo-Johnson searched per target/method",declared in adapter registry but not wrapped in GuardedStabilityLassoRidge,unsupported,confirmed,"source cells A1/C2+; registry.py; estimators.py",P5 cannot run
LIN-014,per-target method selection,"outer summaries select method/model/transform/topk by source score objective",single fixed representative recipe,representative proxy,confirmed,"source cell D1; p1 registry",P5 cannot run
LIN-015,family routing,"notebook uses one 169-feature input layout per target",FS4 policy rejects family-inapplicable features and supports explicit family routes,intentionally altered leakage-safe implementation,confirmed,"v0_1/policy.py; adapters.py",Valid safety policy but not source parity
LIN-016,prediction ledger,"predictions computed transiently but not exported row-wise",PRM-071 runner emitted OOF ledger on another dataset; reusable exact parity ledger absent,unsupported,confirmed,"replay inventory; PRM071 merge packet",P6 cannot run
LIN-017,metric ledger,"fold R2/RMSE/MAE and summary metrics",PRM-071 has R2/RMSE/MAE on another contract,representative proxy,confirmed,"source cell D1; PRM071 metrics",Metric formulas can be mapped but parity evidence does not exist
LIN-018,final refit,"selected source method refit on full selected/grouped data; 13/16 produced",single guarded stability-Ridge estimator,representative proxy,confirmed,"source cell E1; replay output; estimators.py",P8 cannot run and three targets remain hold
LIN-019,silent failure observability,"multiple caught exceptions and silent None paths; unordered set in BlockPCA",guarded contract errors exist but source-return trace absent,reduced compatibility subset,confirmed,"source cells C2/C2+; POSTRUN-GATE-001",Future execution requires non-behavior-changing logging
LIN-020,FS4-P1-B overall,"complete TRAIN-2ND-NEWFEATURE notebook",one stability-Lasso-Ridge recipe,representative proxy,confirmed,"registry notes explicitly say representative; actual source comparison",Not an exact parity target
