claim_id,claim,status,evidence,boundary
POSTRUN-CLM-001,C1 run completed 801 slices and 800 overlays,confirmed,"C1 RUN_STATE.json; C1 independent QA","Artifact completion only; not descriptor parity or y validation."
POSTRUN-CLM-002,C1 independent artifact QA passed 9 of 9,confirmed,C1_INDEPENDENT_QA_RESULT.json,"Executed exactly once after completion; no slicing rerun."
POSTRUN-CLM-003,C1 stderr was empty,rejected,C1 worker stderr log,"Actual stderr is a preserved 283-byte CuPy CUDA-path warning."
POSTRUN-CLM-004,C1 CUDA warning is a scientific execution failure,rejected,"C1 stderr; completed RUN_STATE; 9/9 QA","Warning is retained but contains no calculation traceback or failed artifact check."
POSTRUN-CLM-005,TRAIN-2ND-NEWFEATURE original notebook executed in a clean isolated kernel,confirmed,"replay_state.json; executed notebook; cell_execution_status.csv","Path/kernel/thread routing deltas were declared; source notebook remained unchanged."
POSTRUN-CLM-006,All 16 target outer-CV calculations completed,confirmed,"all_output_method_comparison_summary.csv; fold ledger; 11/11 executed cells","Does not imply favorable metrics or held-family generalization."
POSTRUN-CLM-007,All 16 final-refit outputs completed,rejected,"final_refit_summary.csv; QA-015","13/16 only."
POSTRUN-CLM-008,Two missing FRF final refits reproduce historical source behavior,confirmed,"source notebook stored Cell E1 output; replay Cell E1/final_refit_summary.csv","The exact internal None-return branch is not observable because source exceptions/reasons are suppressed."
POSTRUN-CLM-009,Yield strength final-refit omission is a compatibility-path effect,rejected,"source and execution-copy code comparison QA-006/007; historical/replay method difference","Scientific cells were unchanged; source nondeterminism is the supported candidate."
POSTRUN-CLM-010,Yield strength omission reflects a source reproducibility bug,likely,"unordered set traversal in build_corr_blocks; PYTHONHASHSEED not fixed; historical block_pca versus replay minimal_class_average","Exact swallowed exception/None-return gate remains unresolved without a preregistered diagnostic."
POSTRUN-CLM-011,Replay code/input/environment fidelity is established,confirmed,"source/input SHA; 11/11 cells; clean kernel; no error output","This is execution fidelity, not exact historical numerical-output parity."
POSTRUN-CLM-012,Exact historical numerical parity is established,unresolved,"historical versus replay method/refit differences","Must not be claimed before determinism and three-target diagnostics."
POSTRUN-CLM-013,Adapter parity is established,rejected,TRAIN-AUDIT and POSTRUN evidence,"No adapter-parity fit was executed."
POSTRUN-CLM-014,T1 status is completed with evidence and a declared refit gap,confirmed,POSTRUN-GATE-001 REPORT and disposition ledger,"Three targets remain held from final-refit parity."
POSTRUN-CLM-015,Adapter-parity preregistration may begin,confirmed,NEXT_GATE_RECOMMENDATION.md,"Preregistration/no-fit only; three-target refit gap must remain explicit."
