context_id,source_session_id,source_session_type,source_transcript_path,source_availability,human_problem_statement,initial_assumption,ai_interpretation,human_correction,alternatives_considered,rejected_alternatives,rejection_reason,final_decision,decision_rationale,implementation_impact,revision_trigger,related_work_ids,related_evidence
CTX-HO-001,019fb5c1-1a52-7323-9803-3ba7fd4b6a21,side_conversation_decision_packet,,ephemeral_side_session_no_independent_rollout,Research-lab final day requires closing and handing off while C1 calculation remains active.,A concise task prompt can navigate current work but cannot replace raw source evidence.,Separate rationale provenance from canonical file-backed scientific state.,Do not wait for C1; reconcile independent project state in parallel without touching the worker.,Wait for C1 before all handoff; parallel read-only handoff.,Wait-for-C1-only,Would leave the project unmapped during an active long run.,Freeze v1.0 as-of-cutoff with C1 registered as running and owned by the research control tower.,"A running state is complete state information, not a documentation gap.",Read-only C1 registration; no stop/rerun/QA/merge by handoff session.,New raw transcript/evidence or a later cutoff may refine this context record.,STRICT-STEP-026; HANDOFF-SYNC-001,HANDOFF-SYNC-001 task packet and SIDE/CONTEXT-LINEAGE supplements; not scientific evidence.
CTX-HO-002,019fb5c1-1a52-7323-9803-3ba7fd4b6a21,side_conversation_decision_packet,,ephemeral_side_session_no_independent_rollout,Need a delivery form that lets a new reader understand and reproduce the project.,A concise task prompt can navigate current work but cannot replace raw source evidence.,Separate rationale provenance from canonical file-backed scientific state.,"A single email, ZIP, or overwritten old Notion page is insufficient.",Overwrite existing Notion; email only; ZIP only; email + new Notion + clean ZIP.,Overwrite/email-only/ZIP-only,History/state ambiguity or insufficient human navigation.,Email is entry; new Notion is human map; clean ZIP is runnable evidence; old page receives outdated pointer.,Different media have different authority roles.,This cutoff produces portable HTML/MD/Excel/schema/evidence packet; it does not edit Notion.,New raw transcript/evidence or a later cutoff may refine this context record.,PRES-HANDOFF-001; HANDOFF-SYNC-001,HANDOFF-SYNC-001 task packet and SIDE/CONTEXT-LINEAGE supplements; not scientific evidence.
CTX-HO-003,019fb5c1-1a52-7323-9803-3ba7fd4b6a21,side_conversation_decision_packet,,ephemeral_side_session_no_independent_rollout,"Parallel tracks have different last-completed locations, so one overall 'complete' label misleads.",A concise task prompt can navigate current work but cannot replace raw source evidence.,Separate rationale provenance from canonical file-backed scientific state.,Represent project as pipeline positions and multiple state axes.,Single progress percentage; per-track lifecycle map.,Single progress percentage,"Conflates calculation, QA, scientific decision, integration, and release.",Map work packages on Level 1 pipeline and Level 2 tracks with independent status axes.,The next person must see where each branch stopped.,"WORK_PACKAGE_LEDGER separates execution, QA, scientific, NB integration, regression, and release.",New raw transcript/evidence or a later cutoff may refine this context record.,HANDOFF-SYNC-001,HANDOFF-SYNC-001 task packet and SIDE/CONTEXT-LINEAGE supplements; not scientific evidence.
CTX-HO-004,019fb5c1-1a52-7323-9803-3ba7fd4b6a21,side_conversation_decision_packet,,ephemeral_side_session_no_independent_rollout,"Factory creation, calculation, QA, NB integration, and release need separate records for research literacy.",A concise task prompt can navigate current work but cannot replace raw source evidence.,Separate rationale provenance from canonical file-backed scientific state.,A completed calculation must not be mistaken for an integrated or released scientific result.,One 'done' state; S0-S9 lifecycle.,One 'done' state,Destroys reproducibility and hides missing gates.,Use S0 problem through S9 release lifecycle alongside independent status axes.,Makes gaps visible to a first-time reader.,Project map and workbook include lifecycle language and claim boundary.,New raw transcript/evidence or a later cutoff may refine this context record.,HANDOFF-SYNC-001; NB-INTEGRATE-001,HANDOFF-SYNC-001 task packet and SIDE/CONTEXT-LINEAGE supplements; not scientific evidence.
CTX-HO-005,019fb5c1-1a52-7323-9803-3ba7fd4b6a21,side_conversation_decision_packet,,ephemeral_side_session_no_independent_rollout,The cutoff must be accurate enough to resume safely despite many old documents and fast-moving runs.,A concise task prompt can navigate current work but cannot replace raw source evidence.,Separate rationale provenance from canonical file-backed scientific state.,Use a strict evidence priority and three checks rather than newest text alone.,Roadmap-led summary; direct file/manifest/QA/reverse reconciliation.,Roadmap-led summary only,Pointers can be stale or overstate status.,Actual file/SHA → manifest → QA → report → merge → logs → pointers is the evidence hierarchy.,Source provenance must outrank narrative convenience.,Evidence Index and discrepancy audit preserve scope limits.,New raw transcript/evidence or a later cutoff may refine this context record.,HANDOFF-SYNC-001,HANDOFF-SYNC-001 task packet and SIDE/CONTEXT-LINEAGE supplements; not scientific evidence.
CTX-HO-006,019fb5c1-1a52-7323-9803-3ba7fd4b6a21,side_conversation_decision_packet,,ephemeral_side_session_no_independent_rollout,"Need to distinguish the roles of HQ notebook, modules, data, geometry, ledgers, and evidence.",A concise task prompt can navigate current work but cannot replace raw source evidence.,Separate rationale provenance from canonical file-backed scientific state.,"No single file should carry both execution, data, history, and human explanation.",Monolithic notebook; role-separated package.,Monolithic notebook,Unmaintainable and prone to stale duplicated claims.,HQ is execution anchor; modules are engines; JSON/CSV are machine state; Excel/HTML/MD are views; QA/manifest are claims evidence.,Role separation improves reuse and traceability.,Alias/path index and notebook/module inventory are generated from actual sources.,New raw transcript/evidence or a later cutoff may refine this context record.,URP4_1_HQ; NB-INTEGRATE-001; HANDOFF-SYNC-001,HANDOFF-SYNC-001 task packet and SIDE/CONTEXT-LINEAGE supplements; not scientific evidence.
CTX-HO-007,019fb5c1-1a52-7323-9803-3ba7fd4b6a21,side_conversation_decision_packet,,ephemeral_side_session_no_independent_rollout,HQ should anchor project literacy without duplicating all history into notebook prose.,A concise task prompt can navigate current work but cannot replace raw source evidence.,Separate rationale provenance from canonical file-backed scientific state.,Manual notebook/document duplication creates drift.,Long notebook history; manually synchronized documents; schema-generated views.,Long notebook history/manual duplicate views,High drift/staleness risk.,HQ anchors execution; PROJECT_SCHEMA is state authority; multiple human views are generated from schema.,One source of status truth allows reverse tracing.,"HTML, MD, SVG, and workbook use the same cutoff schema.",New raw transcript/evidence or a later cutoff may refine this context record.,URP4_1_HQ; HANDOFF-SYNC-001,HANDOFF-SYNC-001 task packet and SIDE/CONTEXT-LINEAGE supplements; not scientific evidence.
CTX-HO-008,019fb5c1-1a52-7323-9803-3ba7fd4b6a21,side_conversation_decision_packet,,ephemeral_side_session_no_independent_rollout,Narrative summaries alone may be wrong or stale.,A concise task prompt can navigate current work but cannot replace raw source evidence.,Separate rationale provenance from canonical file-backed scientific state.,"Audit actual notebook JSON/cells, Python source, Excel/CSV/JSON/config/manifest/QA/artifacts.",Documentation-only audit; original-file audit.,Documentation-only audit,Cannot establish file identity or real implementation state.,Direct source/file audit with SHA is mandatory for current facts.,"Project state is an evidence problem, not a writing problem.",Schema includes direct notebook cell and Python AST audits; evidence hashes are indexed.,New raw transcript/evidence or a later cutoff may refine this context record.,HANDOFF-SYNC-001A,HANDOFF-SYNC-001 task packet and SIDE/CONTEXT-LINEAGE supplements; not scientific evidence.
CTX-HO-009,019fb5c1-1a52-7323-9803-3ba7fd4b6a21,side_conversation_decision_packet,,ephemeral_side_session_no_independent_rollout,C1 running status could tempt delaying the final handoff or calling it draft.,A concise task prompt can navigate current work but cannot replace raw source evidence.,Separate rationale provenance from canonical file-backed scientific state.,Freeze a complete as-of-cutoff v1.0 now; revise later without overwriting.,Wait; call v1.0 draft; immutable cutoff revision.,Wait/draft,Running data is still material state and needs an explicit resume point.,"Publish immutable v1.0, then create a v1.1 cutoff after C1 owner completion/QA.",Versioned cutoff keeps historic claims reproducible.,C1 is registered running; no v1.0 overwrite after completion.,New raw transcript/evidence or a later cutoff may refine this context record.,STRICT-STEP-026; HANDOFF-SYNC-001,HANDOFF-SYNC-001 task packet and SIDE/CONTEXT-LINEAGE supplements; not scientific evidence.
CTX-HO-010,019fb5c1-1a52-7323-9803-3ba7fd4b6a21,side_conversation_decision_packet,,ephemeral_side_session_no_independent_rollout,"Conversation carries human reasoning, corrections, and rejected alternatives that a task prompt can lose.",A concise task prompt can navigate current work but cannot replace raw source evidence.,Separate rationale provenance from canonical file-backed scientific state.,"Treat raw conversation, context lineage, canonical state, and active task as different layers.",Prompt as substitute for conversation; loss-aware four-layer provenance.,Prompt-as-transcript,Compressed instructions lose logical ancestry and uncertainty.,Store decision lineage separately; link raw transcript if available; never substitute it for scientific evidence.,Future AI/human needs both intent and file-backed facts.,Context lineage register and HTML view state transcript availability explicitly.,New raw transcript/evidence or a later cutoff may refine this context record.,HANDOFF-SYNC-001,HANDOFF-SYNC-001 task packet and SIDE/CONTEXT-LINEAGE supplements; not scientific evidence.
