audit_id,component,actual_file_path,current_role,evidence_or_validation,state,hq_reusable,new_connection_needed,side_chat_conflict,risk,next_action
HQ-A001,NB-CURRENT,experiments/lab_001_xy_connection_20260626/notebooks/R06V2_integrated_legacy_candidate_v0_2.ipynb,Doctor-approved integrated reference and Voxel source identity,Approved v0.2 hash plus CINT source audit,confirmed,reference_only,no,Side chat sometimes implied editing the notebook,Protected; never edit or execute as an uncontrolled HQ global,Preserve immutable copy for source verification
HQ-A002,NB-DEV v0.5,experiments/lab_001_xy_connection_20260626/notebooks/NB_DEV_v0_5_IMPORTED_STL_WINDING_ROUTER.ipynb,Latest development imported-STL router,IMSTL-005 16/16 plus IMSTL-006 selected gate,partial,logic_reusable,yes,Older side chat names v0.3/v0.4 as latest,F/all58 not generalized,Reuse geometry_io v0.4 instead of embedding notebook cells
HQ-A003,LEGACY-PY adapters,urp4/legacy_reference/v0_1,Read-only legacy formula/source adapters,R06V2/CINT and prior exact PNG parity,confirmed,conditional,no,Side chat could imply copying every forensic script,Formula authority is descriptor-specific,Keep as evidence/reference; HQ scalar route uses RUN-139 service
HQ-A004,RUN-139 descriptor engine,urp4/descriptor_service/v0_1,Saved-PNG readback primitive tables to nine scalars,CINT-03 9/9 and 58-model 522-row regression,confirmed,yes,yes,None,Only approved P1000/Z801 profile,Connect through explicit FrozenRunConfig gate
HQ-A005,Geometry source router,urp4/geometry_io/v0_3,Source identity preflight and generated/imported/STP separation,IMSTL-001 10/10 and HQ smoke,confirmed,yes,yes,None,STP needs OCP and imported topology risk is diagnostic,Connect before every geometry operation
HQ-A006,Imported winding,urp4/geometry_io/v0_4,Imported STL signed non-zero-winding masks,IMSTL-003 to 006 and HQ L28 exact repeat,partial,yes,yes,Replaces older STL-to-STEP fallback proposal,Screening not exact STP; F/all58 unresolved,Expose only as qualified imported route
HQ-A007,Lattice Type A/B,urp4/generators/lattice_typeab/v0_1,Type A source replay and conditional Type B,Prior CINT-04 plus HQ Type-A smoke,partial,yes,yes,Past modular-complete wording hid missing Type-B workbook,Type B identity input missing,Enable Type A; Type B fail closed
HQ-A008,TPMS,urp4/generators/tpms_multiwall/v0_1,Source-replay generator,Prior CINT-05 plus HQ smoke,partial,yes,yes,Past modular-complete wording could imply production readiness,VF/thickness/open-cell/printability policy unresolved,Enable conditional source-replay mode
HQ-A009,Voxel,urp4/generators/voxel/v0_1,NB-CURRENT source-replay generator,Prior CINT-06 plus HQ smoke,partial,yes,yes,Past modular-complete wording could imply production readiness,Grid/VF/printability policy unresolved,Enable conditional source-replay mode
HQ-A010,Training method registry,urp4/training/v0_1,Static source/method/feature policy,Prior CINT-08 and 9 source hashes,partial,interface_only,yes,Conflicts with immediate Training execution proposal,No official new y and fit gate,Expose controls/schema but lock execution
HQ-A011,Existing orchestration,urp4/orchestration/v0_1,Contract-validation orchestrator,Prior CINT-09 no-production boundary,rejected,no,yes,Past side chat called orchestration complete,Explicitly prohibits production execution,Do not reuse; add isolated urp4/hq/v0_1
HQ-A012,Reporting/contracts,urp4/contracts/v0_1 and HQ output manifests,Canonical IDs plus run/output trace,CINT-01 and HQ 14/14 source audit,confirmed,yes,yes,None,Manifest self-hash recursion avoided,Write frozen config run input output and status manifests

