issue_id,work_id,type,severity,evidence,resolution
DISC-001,HQ-BLUEPRINT-001,completed_artifact_without_identified_independent_qa,review,experiments/lab_001_xy_connection_20260626/results/HQ-BLUEPRINT-001/MERGE_PACKET.md,Do not call scientifically complete until QA source is located/reviewed.
DISC-002,HQ-GEOM-003,completed_artifact_without_identified_independent_qa,review,experiments/lab_001_xy_connection_20260626/results/HQ-GEOM-003/HQ-GEOM-003-20260728-001/MERGE_PACKET.md; experiments/lab_001_xy_connection_20260626/results/HQ-GEOM-003/HQ-GEOM-003-20260728-001/REPORT.md,Do not call scientifically complete until QA source is located/reviewed.
DISC-003,IMSTL-001_SOURCE_ROUTER_PREFLIGHT,artifact_without_identified_merge_packet,review,experiments/lab_001_xy_connection_20260626/results/IMSTL-001_SOURCE_ROUTER_PREFLIGHT/IMSTL-001-20260727-001/INDEPENDENT_QA.json; experiments/lab_001_xy_connection_20260626/results/IMSTL-001_SOURCE_ROUTER_PREFLIGHT/IMSTL-001-20260727-001/RUN_MANIFEST.json,Check producer contract; some work roots are intermediate/archival.
DISC-004,IMSTL-002_L28_ROBUST_PROTOTYPE,artifact_without_identified_merge_packet,review,experiments/lab_001_xy_connection_20260626/results/IMSTL-002_L28_ROBUST_PROTOTYPE/IMSTL-002-20260727-001/INDEPENDENT_QA.json,Check producer contract; some work roots are intermediate/archival.
DISC-005,IMSTL-003_L28_WINDING_DOE,artifact_without_identified_merge_packet,review,experiments/lab_001_xy_connection_20260626/results/IMSTL-003_L28_WINDING_DOE/IMSTL-003-20260727-002/INDEPENDENT_QA.json,Check producer contract; some work roots are intermediate/archival.
DISC-006,IMSTL-004_L28_FULL801,artifact_without_identified_merge_packet,review,experiments/lab_001_xy_connection_20260626/results/IMSTL-004_L28_FULL801/IMSTL-004-20260728-001/INDEPENDENT_QA.json,Check producer contract; some work roots are intermediate/archival.
DISC-007,IMSTL-005_NB_DEV_INTEGRATION,artifact_without_identified_merge_packet,review,experiments/lab_001_xy_connection_20260626/results/IMSTL-005_NB_DEV_INTEGRATION/IMSTL-005-20260728-002/INDEPENDENT_QA.json,Check producer contract; some work roots are intermediate/archival.
DISC-008,IMSTL-006_SMALL_GENERALIZATION,artifact_without_identified_merge_packet,review,experiments/lab_001_xy_connection_20260626/results/IMSTL-006_SMALL_GENERALIZATION/IMSTL-006-20260728-002/INDEPENDENT_QA.json,Check producer contract; some work roots are intermediate/archival.
DISC-009,L28_STL2STP_CONCLUSION,completed_artifact_without_identified_independent_qa,review,experiments/lab_001_xy_connection_20260626/results/L28_STL2STP_CONCLUSION/L28-STL2STP-RESCONV-20260727-001/RUN_MANIFEST.json,Do not call scientifically complete until QA source is located/reviewed.
DISC-010,L28_STL2STP_CONCLUSION,artifact_without_identified_merge_packet,review,experiments/lab_001_xy_connection_20260626/results/L28_STL2STP_CONCLUSION/L28-STL2STP-RESCONV-20260727-001/RUN_MANIFEST.json,Check producer contract; some work roots are intermediate/archival.
