bank_version,candidate_id,candidate_group_id,descriptor_family,output_name,unit,source_population,aggregation_formula,applicable_family,direct_or_derived,source_bank,source_value_table,technical_role,qualification_status,confidence_status,later_evaluation_role,active_feature,promoted,y_evidence,notes,model_count,finite_count,unique_count,unified_block_id,unified_block_member_count,unified_edge_degree
XREG-v0.3-TECHNICAL,LIT-X001::solid_chord_x_count,LIT-X001,directional_solid_chord,solid_chord_x_count,count,directional phase chord run-length distribution on fixed V128 voxel mask,directional phase chord run-length distribution on fixed V128 voxel mask,B|C|F|L|T,direct_from_mask_formula,PRM082_existing,PRM082_full58_all89_values_long.csv,diagnostic_trace_only,full58_technical_census_not_scientifically_selected,confirmed_lineage,existing_bank_reference_diagnostic_trace_only,False,False,False,raw value is persisted even when held or diagnostic,58,58,58,U096-BLK-001,1,0
XREG-v0.3-TECHNICAL,LIT-X001::solid_chord_x_mean_mm,LIT-X001,directional_solid_chord,solid_chord_x_mean_mm,mm,directional phase chord run-length distribution on fixed V128 voxel mask,directional phase chord run-length distribution on fixed V128 voxel mask,B|C|F|L|T,direct_from_mask_formula,PRM082_existing,PRM082_full58_all89_values_long.csv,census_primary,full58_technical_census_not_scientifically_selected,confirmed_lineage,existing_bank_reference_census_primary,False,False,False,raw value is persisted even when held or diagnostic,58,58,58,U096-BLK-002,2,1
XREG-v0.3-TECHNICAL,LIT-X001::solid_chord_x_population_std_mm,LIT-X001,directional_solid_chord,solid_chord_x_population_std_mm,mm,directional phase chord run-length distribution on fixed V128 voxel mask,directional phase chord run-length distribution on fixed V128 voxel mask,B|C|F|L|T,direct_from_mask_formula,PRM082_existing,PRM082_full58_all89_values_long.csv,census_primary,full58_technical_census_not_scientifically_selected,confirmed_lineage,existing_bank_reference_census_primary,False,False,False,raw value is persisted even when held or diagnostic,58,58,58,U096-BLK-003,2,1
XREG-v0.3-TECHNICAL,LIT-X001::solid_chord_x_q10_mm,LIT-X001,directional_solid_chord,solid_chord_x_q10_mm,mm,directional phase chord run-length distribution on fixed V128 voxel mask,directional phase chord run-length distribution on fixed V128 voxel mask,B|C|F|L|T,direct_from_mask_formula,PRM082_existing,PRM082_full58_all89_values_long.csv,retained_sensitivity_trace,full58_technical_census_not_scientifically_selected,likely_or_hold_by_existing_policy,existing_bank_reference_retained_sensitivity_trace,False,False,False,raw value is persisted even when held or diagnostic,58,58,5,U096-BLK-004,1,0
XREG-v0.3-TECHNICAL,LIT-X001::solid_chord_x_q50_mm,LIT-X001,directional_solid_chord,solid_chord_x_q50_mm,mm,directional phase chord run-length distribution on fixed V128 voxel mask,directional phase chord run-length distribution on fixed V128 voxel mask,B|C|F|L|T,direct_from_mask_formula,PRM082_existing,PRM082_full58_all89_values_long.csv,retained_sensitivity_trace,full58_technical_census_not_scientifically_selected,likely_or_hold_by_existing_policy,existing_bank_reference_retained_sensitivity_trace,False,False,False,raw value is persisted even when held or diagnostic,58,58,9,U096-BLK-005,1,0
XREG-v0.3-TECHNICAL,LIT-X001::solid_chord_x_q90_mm,LIT-X001,directional_solid_chord,solid_chord_x_q90_mm,mm,directional phase chord run-length distribution on fixed V128 voxel mask,directional phase chord run-length distribution on fixed V128 voxel mask,B|C|F|L|T,direct_from_mask_formula,PRM082_existing,PRM082_full58_all89_values_long.csv,retained_sensitivity_trace,full58_technical_census_not_scientifically_selected,likely_or_hold_by_existing_policy,existing_bank_reference_retained_sensitivity_trace,False,False,False,raw value is persisted even when held or diagnostic,58,58,15,U096-BLK-006,1,0
XREG-v0.3-TECHNICAL,LIT-X001::solid_chord_x_spanning_line_fraction,LIT-X001,directional_solid_chord,solid_chord_x_spanning_line_fraction,dimensionless,directional phase chord run-length distribution on fixed V128 voxel mask,directional phase chord run-length distribution on fixed V128 voxel mask,B|C|F|L|T,direct_from_mask_formula,PRM082_existing,PRM082_full58_all89_values_long.csv,retained_sensitivity_trace,full58_technical_census_not_scientifically_selected,likely_or_hold_by_existing_policy,existing_bank_reference_retained_sensitivity_trace,False,False,False,raw value is persisted even when held or diagnostic,58,58,33,U096-BLK-007,1,0
XREG-v0.3-TECHNICAL,LIT-X001::solid_chord_y_count,LIT-X001,directional_solid_chord,solid_chord_y_count,count,directional phase chord run-length distribution on fixed V128 voxel mask,directional phase chord run-length distribution on fixed V128 voxel mask,B|C|F|L|T,direct_from_mask_formula,PRM082_existing,PRM082_full58_all89_values_long.csv,diagnostic_trace_only,full58_technical_census_not_scientifically_selected,confirmed_lineage,existing_bank_reference_diagnostic_trace_only,False,False,False,raw value is persisted even when held or diagnostic,58,58,58,U096-BLK-008,1,0
XREG-v0.3-TECHNICAL,LIT-X001::solid_chord_y_mean_mm,LIT-X001,directional_solid_chord,solid_chord_y_mean_mm,mm,directional phase chord run-length distribution on fixed V128 voxel mask,directional phase chord run-length distribution on fixed V128 voxel mask,B|C|F|L|T,direct_from_mask_formula,PRM082_existing,PRM082_full58_all89_values_long.csv,census_primary,full58_technical_census_not_scientifically_selected,confirmed_lineage,existing_bank_reference_census_primary,False,False,False,raw value is persisted even when held or diagnostic,58,58,58,U096-BLK-002,2,1
XREG-v0.3-TECHNICAL,LIT-X001::solid_chord_y_population_std_mm,LIT-X001,directional_solid_chord,solid_chord_y_population_std_mm,mm,directional phase chord run-length distribution on fixed V128 voxel mask,directional phase chord run-length distribution on fixed V128 voxel mask,B|C|F|L|T,direct_from_mask_formula,PRM082_existing,PRM082_full58_all89_values_long.csv,census_primary,full58_technical_census_not_scientifically_selected,confirmed_lineage,existing_bank_reference_census_primary,False,False,False,raw value is persisted even when held or diagnostic,58,58,58,U096-BLK-003,2,1
