scope,runner,target_id,outer_repeat,branch_id,expected_fit_count,runtime_estimate,max_memory,output_estimate,timeout,checkpoint,basis,authorization
branch,source_or_adapter,TRAIN2NF::HI provisional only,0 provisional only,baseline_stability,8736,included in runner aggregate,runner cap 4 GiB; terminate above cap,branch ledger <=25 MiB,15 min per branch; 45 min per runner,target/repeat/runner/branch atomic directory,static exact upper-path count for vibrational top-k/model/search grid,none
branch,source_or_adapter,TRAIN2NF::HI provisional only,0 provisional only,stability_lasso_ridge,35+internal LassoCV,included in runner aggregate,runner cap 4 GiB; terminate above cap,branch ledger <=25 MiB,15 min per branch; 45 min per runner,target/repeat/runner/branch atomic directory,24 stability fits + 10 inner fits + 1 final fit; LassoCV internal work excluded,none
branch,source_or_adapter,TRAIN2NF::HI provisional only,0 provisional only,spca_ridge,100,included in runner aggregate,runner cap 4 GiB; terminate above cap,branch ledger <=25 MiB,15 min per branch; 45 min per runner,target/repeat/runner/branch atomic directory,9 SparsePCA fits + 90 inner fits + 1 final fit,none
branch,source_or_adapter,TRAIN2NF::HI provisional only,0 provisional only,spca_huber,100,included in runner aggregate,runner cap 4 GiB; terminate above cap,branch ledger <=25 MiB,15 min per branch; 45 min per runner,target/repeat/runner/branch atomic directory,9 SparsePCA fits + 90 inner fits + 1 final fit,none
branch,source_or_adapter,TRAIN2NF::HI provisional only,0 provisional only,block_pca_ridge,31-55,included in runner aggregate,runner cap 4 GiB; terminate above cap,branch ledger <=25 MiB,15 min per branch; 45 min per runner,target/repeat/runner/branch atomic directory,30 inner + 1 final; up to 24 block PCA transformer fits,none
branch,source_or_adapter,TRAIN2NF::HI provisional only,0 provisional only,bagged_subspace_ridge,50,included in runner aggregate,runner cap 4 GiB; terminate above cap,branch ledger <=25 MiB,15 min per branch; 45 min per runner,target/repeat/runner/branch atomic directory,10 inner + 40 subspace Ridge fits,none
branch,source_or_adapter,TRAIN2NF::HI provisional only,0 provisional only,minimal_class_average,8738-8739,included in runner aggregate,runner cap 4 GiB; terminate above cap,branch ledger <=25 MiB,15 min per branch; 45 min per runner,target/repeat/runner/branch atomic directory,baseline search plus 2-3 ensemble-member refits,none
branch,source_or_adapter,TRAIN2NF::HI provisional only,0 provisional only,multitask_screen_ridge,42+internal multitask CV,included in runner aggregate,runner cap 4 GiB; terminate above cap,branch ledger <=25 MiB,15 min per branch; 45 min per runner,target/repeat/runner/branch atomic directory,one multitask-screen fit + 40 inner + 1 final,none
branch,source_or_adapter,TRAIN2NF::HI provisional only,0 provisional only,multitask_screen_pls,42+internal multitask CV,included in runner aggregate,runner cap 4 GiB; terminate above cap,branch ledger <=25 MiB,15 min per branch; 45 min per runner,target/repeat/runner/branch atomic directory,one multitask-screen fit + 40 inner + 1 final,none
branch,source_or_adapter,TRAIN2NF::HI provisional only,0 provisional only,spca_pls,0,included in runner aggregate,runner cap 4 GiB; terminate above cap,branch ledger <=25 MiB,15 min per branch; 45 min per runner,target/repeat/runner/branch atomic directory,not reached by provisional vibrational sentinel; do not force execution,none
aggregate,source_reference,TRAIN2NF::HI provisional only,0 provisional only,nine source-reached branches,17875-17899 + internal CV work,6-10 min planning estimate; historical average 5.16 min per target-repeat,4 GiB hard cap,<=125 MiB,45 min,after every branch,static source-path count and 16-target/12-repeat replay elapsed time,none
aggregate,adapter,TRAIN2NF::HI provisional only,0 provisional only,nine source-reached branches,17875-17899 + internal CV work,6-10 min planning estimate,4 GiB hard cap,<=125 MiB,45 min,after every branch,same numerical source paths behind adapter permit,none
aggregate,combined_future_parity,TRAIN2NF::HI provisional only,0 provisional only,source + adapter,35750-35798 + internal CV work,12-20 min planning estimate; 90 min global abort ceiling,sequential runners; 4 GiB each,<=250 MiB,90 min global,runner/branch resume; never overwrite completed branch,sequential source and adapter execution,none
