gate_id,title,status,trigger,blocking_scope,owner,evidence_path,next_action
GATE-001,STRICT-STEP-026 C1 completion and owner QA,closed_completed_with_evidence,active C1 worker,C1 direct STEP x-only evidence,research control tower,experiments/lab_001_xy_connection_20260626/results/POSTRUN-GATE-001/POSTRUN-GATE-001-20260801-001/REPORT.md,No action in submission close; preserve evidence.
GATE-002,F1 z400 pixel-phase / resolution diagnosis,unresolved,ROUTE-VALID-003/003A evidence,scientific production qualification of F1 route,research control tower,experiments/lab_001_xy_connection_20260626/results/ROUTE-VALID-003,STRICT follow-up; not implied resolved by C1.
GATE-003,58-model imported STL generalization,unresolved,paired pilot cannot generalize to STL-only models,broad imported-STL claim,research control tower,experiments/lab_001_xy_connection_20260626/results/ROUTE-VALID-004,Separate selected-slice then gated full route.
GATE-004,Direct STEP descriptor production qualification,unresolved,selected/pilot evidence is not full descriptor parity,production descriptor route,research control tower,experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-025,Continue qualified DIRECT STEP evidence lane.
GATE-005,Lattice Type B Variables.xlsx source intake,unresolved,named missing source in HQ submission audit,Type B generator parameter completeness,Chuck / research control tower,experiments/lab_001_xy_connection_20260626/results/URP4-1_HQ_SUBMISSION_AUDIT_20260728,Obtain source workbook; preserve as protected raw input.
GATE-006,Feature selection and training eligibility,technical_pilot_complete_scientific_gate_open,B/C/L and Voronoi technical pilots completed; target-specific stability and semantics unresolved,"feature/method promotion, production prediction, and inverse-design claims",research control tower,experiments/lab_001_xy_connection_20260626/results/COMP-FACTORY-004_BCL_VORONOI_20260802/REPORT.md,Preregister one target at a time with grouped nested stability review; do not promote pooled winners.
GATE-TRAIN-NATIVE-RUNTIME,Training sentinel numerical parity,closed_for_submission_as_blocked_with_evidence,Future explicit authorization to diagnose native source crash,Exact source↔adapter numerical parity and production Training,future research control tower,experiments/lab_001_xy_connection_20260626/results/TRAIN-PARITY-004/TRAIN-PARITY-004-20260801-001/REPORT.md,Do not retry in this release; begin from crash evidence if work resumes.
GATE-COMP-BCL-SUMMARY,B/C/L compression summary input,closed_completed_with_evidence,Eleven compression workbooks received and preserved on 2026-08-02,source intake no longer blocked; scientific promotion remains separately gated,research control tower,experiments/lab_001_xy_connection_20260626/results/COMP-FACTORY-004_BCL_VORONOI_20260802/REPORT.md,Preserve as closed input gate; continue only through target-specific stability gate.
GATE-COMP-VORONOI-SUMMARY,Voronoi compression summary input,closed_completed_with_evidence,Eleven compression workbooks received and preserved on 2026-08-02,source intake no longer blocked; scientific promotion remains separately gated,research control tower,experiments/lab_001_xy_connection_20260626/results/COMP-FACTORY-004_BCL_VORONOI_20260802/REPORT.md,Preserve as closed input gate; continue only through target-specific stability gate.
GATE-COMP-TARGET-STABILITY,B/C/L and Voronoi target-specific nested stability,pending_preregistration,Technical grouped pilot produced screening signals with retained warnings,feature/method/target promotion and any predictive or inverse-design claim,future research control tower,experiments/lab_001_xy_connection_20260626/results/COMP-FACTORY-004_BCL_VORONOI_20260802/REPORT.md,"Select one target, freeze units/objective/group contract, then run nested stability review."
